contigName	contigLen	totalAvgDepth	SRR24442552_sub_sorted.bam	SRR24442552_sub_sorted.bam-var
k141_6249	315	2.47273	2.47273	0.250776
k141_0	413	1.52852	1.52852	0.372276
k141_2083	343	1.56995	1.56995	0.246384
k141_1	453	4.34323	4.34323	0.636766
k141_4166	852	4.90598	4.90598	1.55177
k141_2	423	4.23443	4.23443	1.14337
k141_3	345	2.93846	2.93846	0.387945
k141_4	391	2.3112	2.3112	0.456916
k141_5	794	3.31832	3.31832	1.38063
k141_2084	1621	4.27396	4.27396	2.40448
k141_6	395	2.73061	2.73061	0.550084
k141_2085	403	3.13043	3.13043	0.590062
k141_7	347	4.49239	4.49239	1.51653
k141_2086	307	2.2293	2.2293	0.229136
k141_2087	519	3.11653	3.11653	0.402145
k141_8	1068	5.30065	5.30065	5.71757
k141_2088	683	2.11445	2.11445	0.409809
k141_9	332	2.31868	2.31868	0.693462
k141_4167	3816	4.1994	4.1994	3.02896
k141_2089	628	3.46862	3.46862	1.41096
k141_2090	360	2.64762	2.64762	0.430258
k141_10	753	3.00829	3.00829	1.33713
k141_2091	333	1.59563	1.59563	0.242179
k141_2092	337	2.02674	2.02674	0.789604
k141_2093	381	2.58442	2.58442	0.426538
k141_4168	1125	4.67487	4.67487	4.25662
k141_4169	458	3.64286	3.64286	0.790601
k141_6250	5637	5.30727	5.30727	4.28216
k141_11	1466	4.84043	4.84043	3.39505
k141_6251	520	3.54595	3.54595	0.573762
k141_12	357	3.00966	3.00966	1.72806
k141_6252	331	1.1768	1.1768	0.146348
k141_13	409	4.31274	4.31274	1.81267
k141_14	306	3.41667	3.41667	0.360753
k141_4170	1298	3.68031	3.68031	2.79831
k141_4171	319	2.10651	2.10651	0.238589
k141_6253	787	2.06279	2.06279	0.329383
k141_4172	346	3.27041	3.27041	0.762402
k141_15	685	3.28598	3.28598	0.687725
k141_4173	343	4.0829	4.0829	1.58684
k141_6254	562	5.49272	5.49272	1.89046
k141_16	404	2.26772	2.26772	0.394448
k141_6255	407	2.94163	2.94163	2.00049
k141_4174	662	3.70117	3.70117	1.26277
k141_17	380	1.86957	1.86957	0.113917
k141_4175	369	5.18265	5.18265	1.40685
k141_18	372	2.45495	2.45495	0.249093
k141_6256	670	2.10192	2.10192	0.403852
k141_2094	3438	5.34367	5.34367	3.94146
k141_2095	401	1.67331	1.67331	0.444845
k141_4176	1026	2.88699	2.88699	1.14035
k141_2096	490	1.6	1.6	0.95457
k141_4177	439	1.62284	1.62284	0.235727
k141_19	1169	4.03042	4.03042	2.10615
k141_4178	516	1.98907	1.98907	0.372484
k141_2097	569	2.79952	2.79952	0.710909
k141_2098	308	2.99367	2.99367	0.286585
k141_6257	2377	4.57881	4.57881	5.37958
k141_6258	465	1.44127	1.44127	0.247336
